"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5649","1.1.3 validation message for missing permissions","Add User","Mon May 19 21:50:54 UTC 2025","failed","Mon May 19 21:50:59 UTC 2025","","1.1 Org Admin","",""
"","89564","2. Edit and verify all values on Item View page -- keep the previous values in multiselect fields  - Tags & Item Belongs To; 2.1. hitting *enter* button does not wipe out Additional Barcode","","Mon May 19 21:26:44 UTC 2025","passed","Mon May 19 21:28:14 UTC 2025","","Edit Item","",""
"","33086","3. Edit and verify reduced number of values on Person View page - Business Name","","Mon May 19 21:31:50 UTC 2025","passed","Mon May 19 21:32:23 UTC 2025","","Edit Person","",""
"","5","5 Five thousand notes for Item and verify notes count on search","","Mon May 19 21:17:13 UTC 2025","skipped","Mon May 19 21:17:13 UTC 2025","","Import Notes","",""
"","1","1.3 Org Admin-- minimum case fields -- redirect to Add Item page","Add Case","Mon May 19 21:17:03 UTC 2025","skipped","Mon May 19 21:17:03 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","0","2. Import update for item status (Check Out transaction)","","Mon May 19 21:16:17 UTC 2025","skipped","Mon May 19 21:16:17 UTC 2025","","Import Item Updates","",""
"","31662","2. Edit and verify reduced number of values on Person View page - First & Last Name","","Mon May 19 21:31:17 UTC 2025","passed","Mon May 19 21:31:49 UTC 2025","","Edit Person","",""
"","12174","1.4. redirect to Case View page","Add Person","Mon May 19 21:44:22 UTC 2025","passed","Mon May 19 21:44:34 UTC 2025","","1. Org Admin","",""
"","29318","4.1 verify Org Default Case Number Prefix, clear a default value and save the other one","Add Case","Mon May 19 21:19:39 UTC 2025","passed","Mon May 19 21:20:08 UTC 2025","","4. --- with Default Case Number in Org ","",""
"","673","2. Import and verify Person with minimum fields","","Mon May 19 21:17:24 UTC 2025","failed","Mon May 19 21:17:25 UTC 2025","","Import People","",""
"","0","I.C_5 Case Import - Precheck Only","","Mon May 19 21:16:08 UTC 2025","skipped","Mon May 19 21:16:08 UTC 2025","","Import Cases","",""
"","0","I.C_3 Case with custom fields","","Mon May 19 21:16:08 UTC 2025","skipped","Mon May 19 21:16:08 UTC 2025","","Import Cases","",""
"","18361","Add User ","","Mon May 19 21:48:29 UTC 2025","failed","Mon May 19 21:48:48 UTC 2025","","Add User","",""
"","638","3 Import Notes for Case - Precheck Only","","Mon May 19 21:17:13 UTC 2025","failed","Mon May 19 21:17:13 UTC 2025","","Import Notes","",""
"","87936","1. Edit and verify all values on Item View page -- replace the current values in multiselect fields - Tags & Item Belongs To","","Mon May 19 21:25:15 UTC 2025","passed","Mon May 19 21:26:43 UTC 2025","","Edit Item","",""
"","1","1. Import Person with all updated fields","","Mon May 19 21:17:34 UTC 2025","broken","Mon May 19 21:17:34 UTC 2025","","Import People Updates","",""
"","174","2. Verify Transfer transaction and enabled/disabled actions for Checked Out item","","Mon May 19 21:37:23 UTC 2025","failed","Mon May 19 21:37:23 UTC 2025","","Item Transactions & Actions","",""
"","7506","2.1 verify that user can add all values but can select only Storage Location(s) that s/he has access to","Add Item","Mon May 19 21:31:57 UTC 2025","failed","Mon May 19 21:32:04 UTC 2025","","2 Power User -- all permissions in Office, with and without access to Storage Location","",""
"","137","3. Scanning 1000 items during Inventory report","Inventory Reports","Mon May 19 21:15:50 UTC 2025","failed","Mon May 19 21:15:50 UTC 2025","","2. Scanning 1000 items","",""
"","2","I.N_5 Five thousand tasks and verify count on search","","Mon May 19 21:16:42 UTC 2025","skipped","Mon May 19 21:16:42 UTC 2025","","Import Tasks","",""
"","43338","A.M_1. Add Media to Case","","Mon May 19 21:39:49 UTC 2025","passed","Mon May 19 21:40:32 UTC 2025","","Add Media","",""
"","591","9 Validation messages for blank values","","Mon May 19 21:17:15 UTC 2025","failed","Mon May 19 21:17:16 UTC 2025","","Import Notes","",""
"","203","1.1.1 'equals' correct Person's name","Search Checkouts","Mon May 19 21:16:14 UTC 2025","failed","Mon May 19 21:16:14 UTC 2025","1.1 Checked Out To","1 Org Admin","",""
"","5747","1.4. Add item from Item Search -- redirect to Case View /Items tab","Add Item","Mon May 19 21:29:07 UTC 2025","failed","Mon May 19 21:29:13 UTC 2025","","1. Org Admin","",""
"","21666","6. Auto-Assigned Case Number -- Case Number can be edited when Auto-assigning of Case Numbers is enabled for new cases","","Mon May 19 21:22:51 UTC 2025","passed","Mon May 19 21:23:13 UTC 2025","","Edit Case","",""
"","0","1.6. Create and run DR for single parent location - multiple Discrepancies Found","Inventory Reports","Mon May 19 21:15:48 UTC 2025","skipped","Mon May 19 21:15:48 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","5276","1.3. Add Item from Case View /Items tab -- redirect to Add Item page again","Add Item","Mon May 19 21:29:02 UTC 2025","failed","Mon May 19 21:29:07 UTC 2025","","1. Org Admin","",""
"","0","4 Validation messages for wrongly formatted values","","Mon May 19 21:16:33 UTC 2025","skipped","Mon May 19 21:16:33 UTC 2025","","Import Legacy Chain of Custody","",""
"","86005","3.1 Verify ""Re-Distribute"" for ""Past Due"" cases","Auto-Disposition","Mon May 19 21:17:04 UTC 2025","failed","Mon May 19 21:18:30 UTC 2025","","3. Verify ""Re-Distribute Case Review Dates"" functionality","",""
"","0","I.C_4 Five thousand cases and verify cases count on search by ","","Mon May 19 21:16:08 UTC 2025","skipped","Mon May 19 21:16:08 UTC 2025","","Import Cases","",""
"","773","1 Import Notes for Case","","Mon May 19 21:17:11 UTC 2025","failed","Mon May 19 21:17:12 UTC 2025","","Import Notes","",""
"","604","I.T_1.2 Import Legacy Tasks for Case - Precheck Only","","Mon May 19 21:16:42 UTC 2025","failed","Mon May 19 21:16:42 UTC 2025","","Import Tasks","",""
"","699","7 Validation messages for wrongly formatted values","","Mon May 19 21:17:14 UTC 2025","failed","Mon May 19 21:17:15 UTC 2025","","Import Notes","",""
"","3977","1.9. Only active people should show up in ""Recovered By"" field when searching by first/middle/last name or email","Add Item","Mon May 19 21:31:53 UTC 2025","failed","Mon May 19 21:31:57 UTC 2025","","1. Org Admin","",""
"","16187","1.2. Optional fields disabled -- redirect to View Added Item -- Item Belongs To Shows All People"" turned OFF in Org Settings -- multiple values selected for ""Item Belongs to"" and Tags","Add Item","Mon May 19 21:28:45 UTC 2025","failed","Mon May 19 21:29:01 UTC 2025","","1. Org Admin","",""
"","1","1.1. DR for single parent location - No Discrepancies Found","Inventory Reports","Mon May 19 21:15:48 UTC 2025","broken","Mon May 19 21:15:48 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","538","1. Verify list of already existing services are in place and all listed services have a green status","","Mon May 19 21:17:02 UTC 2025","failed","Mon May 19 21:17:03 UTC 2025","","System Services Page: verify the existing Services are in place, if a new Service gets added =>check the status for all of those","",""
"","0","4. Import update for item status (Disposal transaction)","","Mon May 19 21:16:17 UTC 2025","skipped","Mon May 19 21:16:17 UTC 2025","","Import Item Updates","",""
"","1","I.C.U_1. Import Case Updates - all fields -- user and user group in Case Officer(s) field","","Mon May 19 21:15:59 UTC 2025","broken","Mon May 19 21:15:59 UTC 2025","","Import Case Updates","",""
"","231","1.1.1 equals {email of the user (current user) who created a case}","Cases Search","Mon May 19 21:16:07 UTC 2025","failed","Mon May 19 21:16:07 UTC 2025","1.1 Created By","1 Org Admin","",""
"","68890","3.5 --- Splitting item with Currency Form attached","Add Item","Mon May 19 21:37:15 UTC 2025","passed","Mon May 19 21:38:24 UTC 2025","","3 Add Item with Custom Form","",""
"","0","2 Import Locations with required fields - verify default properties","","Mon May 19 21:16:52 UTC 2025","skipped","Mon May 19 21:16:52 UTC 2025","","Import Locations","",""
"","2","1.1 Org Admin-- All fields enabled -- redirect to View Added Case","Add Case","Mon May 19 21:17:03 UTC 2025","broken","Mon May 19 21:17:03 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","14484","1.1.1 Add task with required fields only -- Unassigned-- keep template content-- search for task on the grid by Creator name-- verify values on grid","Add Task","Mon May 19 21:48:04 UTC 2025","failed","Mon May 19 21:48:18 UTC 2025","","1.1 Org Admin","",""
"","0","1.4. Create and run DR for multiple parent and child locations - starting with Child loc -  No Discrepancies Found","Inventory Reports","Mon May 19 21:15:48 UTC 2025","skipped","Mon May 19 21:15:48 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","8952","1.3.2 --- with required Custom Form but not filled out, all optional fields on Form","Add User","Mon May 19 21:51:54 UTC 2025","failed","Mon May 19 21:52:03 UTC 2025","","1.3 --- with Custom Forms","",""
"","74810","3.1. --- with required Custom Form filled out, all required fields on Form","Add Person","Mon May 19 21:44:43 UTC 2025","failed","Mon May 19 21:45:58 UTC 2025","","3. Add Person with Custom Form","",""
